9 faltam: 6º | Matemática | Frações Equivalentes (1/10)
9 faltam: 9º | Arte | Contemporânea (1/10)
9 faltam: 6º | Inglês | Fruits (1/10)
9 faltam: 9º | Ciências | Matéria (1/10)
9 faltam: 7º | Geografia | Continentes (1/10)
9 faltam: 6º | Ciências | Terra (1/10)
9 faltam: 8º | Matemática | Áreas (1/10)
9 faltam: 7º | Inglês | Nouns (1/10)
9 faltam: 9º | Inglês | Verbs (1/10)
9 faltam: 6º | Ensino Religioso | Mitos (1/10)
9 faltam: 9º | Geografia | Clima (1/10)
9 faltam: 7º | Matemática | Cálculo (1/10)
9 faltam: 8º | Matemática | Raiz (1/10)
9 faltam: 6º | Matemática | Divisores (1/10)
9 faltam: 9º | História | República (1/10)
9 faltam: 6º | História | Origens (1/10)
9 faltam: 8º | Ciências | Biologia (1/10)
9 faltam: 6º | Geografia | Terra (1/10)
9 faltam: 8º | Educação Física | Condicionamento (1/10)
9 faltam: 9º | Matemática | Triângulos (1/10)
9 faltam: 6º | História | Escrita (1/10)
9 faltam: 6º | História | Leis (1/10)
9 faltam: 9º | Geografia | Biomas (1/10)
9 faltam: 6º | Geografia | Meio Ambiente (1/10)
9 faltam: 7º | Geografia | Clima (1/10)
9 faltam: 6º | Ciências | Química (1/10)
9 faltam: 7º | Arte | Audiovisual (1/10)
9 faltam: 9º | Matemática | Círculo (1/10)
9 faltam: 7º | Português | Figuras (1/10)
9 faltam: 6º | Geografia | Oceanos (1/10)
9 faltam: 9º | Geografia | Economia (1/10)
9 faltam: 6º | Ciências | Ar (1/10)
9 faltam: 8º | Ciências | Botânica (1/10)
9 faltam: 9º | Inglês | Greetings (1/10)
9 faltam: 8º | Arte | Pintura (1/10)
9 faltam: 8º | Ciências | Imunologia (1/10)
9 faltam: 6º | Ciências | Matéria (1/10)
9 faltam: 7º | Arte | Estilos (1/10)
9 faltam: 7º | Inglês | Vocab (1/10)
9 faltam: 8º | Educação Física | Vôlei (1/10)
9 faltam: 9º | Ensino Religioso | Livros (1/10)
9 faltam: 8º | Português | Coletivos (1/10)
9 faltam: 9º | Ciências | Espaço (1/10)
9 faltam: 6º | Geografia | Mundo (1/10)
9 faltam: 7º | Inglês | Adj (1/10)
9 faltam: 8º | Inglês | Past (1/10)
9 faltam: 6º | Matemática | Tabuada (1/10)
9 faltam: 7º | Matemática | Raiz (1/10)
9 faltam: 8º | História | Revolução (1/10)
9 faltam: 9º | Matemática | Raiz (1/10)
9 faltam: 8º | Geografia | Oceanos (1/10)
9 faltam: 6º | Ciências | Espaço (1/10)
9 faltam: 7º | Ciências | Estados Físicos (1/10)
9 faltam: 8º | Inglês | Family (1/10)
9 faltam: 6º | Geografia | Espaço (1/10)
9 faltam: 7º | Ciências | Corpo (1/10)
9 faltam: 8º | Educação Física | Futebol (1/10)
9 faltam: 9º | Arte | Arte (1/10)
9 faltam: 7º | História | Humanidade (1/10)
9 faltam: 8º | Geografia | Mundo (1/10)
9 faltam: 7º | Português | Plural (1/10)
9 faltam: 9º | Geografia | Local (1/10)
9 faltam: 7º | Inglês | Basic (1/10)
9 faltam: 8º | História | Guerra (1/10)
9 faltam: 9º | Ciências | Bio (1/10)
9 faltam: 8º | Matemática | Soma (1/10)
9 faltam: 6o | Arte | Mosaico e Colagem (1/10)
8 faltam: 9º | Matemática | Equação do 2º Grau (2/10)
8 faltam: 9º | Geografia | Globalização (2/10)
8 faltam: 9º | Geografia | Continentes (2/10)
8 faltam: 6º | Arte | Elementos Visuais (2/10)
8 faltam: 7º | Arte | Linguagem Musical (2/10)
8 faltam: 7º | Matemática | Regra de Três (2/10)
8 faltam: 9º | Matemática | Potenciação (2/10)
8 faltam: 6º | Português | Verbos (2/10)
8 faltam: 6º | Ciências | Estados da Matéria (2/10)
8 faltam: 7º | Educação Física | Basquetebol (2/10)
8 faltam: 7º | Ensino Religioso | Valores Humanos (2/10)
8 faltam: 7º | Geografia | Climas do Brasil (2/10)
8 faltam: 7º | Arte | História da Arte (2/10)
8 faltam: 7º | Educação Física | Futebol (2/10)
8 faltam: 7º | Educação Física | Atletismo (2/10)
8 faltam: 7º | Ensino Religioso | Práticas Contemplativas (2/10)
8 faltam: 7º | Matemática | Ângulos (2/10)
8 faltam: 6º | Português | Sintaxe (2/10)
8 faltam: 8º | Ciências | Sistema Digestório (2/10)
8 faltam: 6º | História | Antiguidade Oriental (2/10)
8 faltam: 6º | Português | Plural (2/10)
8 faltam: 6º | História | Nascimento da Escrita (2/10)
8 faltam: 7º | Ensino Religioso | Tolerância (2/10)
8 faltam: 6º | História | Mundo Antigo (2/10)
8 faltam: 7º | História | Idade Moderna (2/10)
8 faltam: 6º | Geografia | Climatologia (2/10)
8 faltam: 8º | Geografia | Cartografia (2/10)
8 faltam: 8º | Educação Física | Capacidades (2/10)
8 faltam: 6º | Educação Física | Basquete (2/10)
8 faltam: 7º | História | Absolutismo (2/10)
8 faltam: 9º | Educação Física | Ética (2/10)
8 faltam: 6º | Educação Física | Handebol (2/10)
8 faltam: 8º | Ensino Religioso | Diálogo (2/10)
8 faltam: 9º | Ensino Religioso | Direitos (2/10)
8 faltam: 6º | Ciências | Estados Físicos (2/10)
8 faltam: 8º | Ciências | Genética (2/10)
8 faltam: 9º | Ensino Religioso | Filosofia (2/10)
8 faltam: 9º | Geografia | Blocos Econômicos (2/10)
8 faltam: 6º | Ciências | Misturas (2/10)
8 faltam: 6º | Geografia | Coordenadas Geográficas (2/10)
8 faltam: 6º | Geografia | Fusos Horários (2/10)
8 faltam: 8º | Ciências | Fontes de Energia (2/10)
8 faltam: 7º | Português | Substantivos (2/10)
8 faltam: 6º | Inglês | Vocabulary: Animals (2/10)
8 faltam: 8º | Inglês | Modal Verbs (2/10)
8 faltam: 8º | Português | Advérbios (2/10)
8 faltam: 6º | Ensino Religioso | Espaços Sagrados (2/10)
8 faltam: 6º | Matemática | Divisão (2/10)
8 faltam: 8º | Ciências | Astronomia (2/10)
8 faltam: 6º | Inglês | Family (2/10)
8 faltam: 7º | Inglês | Food (2/10)
8 faltam: 9º | Inglês | Relative Pronouns (2/10)
8 faltam: 9º | Ciências | Energia (2/10)
8 faltam: 8º | Arte | Arte Urbana (2/10)
8 faltam: 7º | Matemática | Polígonos (2/10)
8 faltam: 9º | Ciências | Ecologia (2/10)
8 faltam: 7º | Inglês | To Be (2/10)
8 faltam: 9º | Matemática | Pitágoras (2/10)
8 faltam: 9º | História | Século XX (2/10)
8 faltam: 7º | Ciências | Respiração (2/10)
8 faltam: 8º | Ciências | Citologia (2/10)
8 faltam: 6º | Ciências | Estrutura da Terra (2/10)
8 faltam: 7º | Geografia | Regionalização (2/10)
8 faltam: 7º | Português | Classes de Palavras (2/10)
8 faltam: 6º | Educação Física | Esportes Coletivos (2/10)
8 faltam: 9º | Geografia | Mundo Atual (2/10)
8 faltam: 9º | Português | Sintaxe (2/10)
8 faltam: 7º | História | Grandes Navegações (2/10)
8 faltam: 8º | Matemática | Ângulos (2/10)
8 faltam: 9º | Educação Física | Basquete (2/10)
8 faltam: 9º | Inglês | Pronouns (2/10)
8 faltam: 7º | Inglês | Culture (2/10)
8 faltam: 7º | Inglês | Family (2/10)
8 faltam: 9º | Inglês | Simple Present (2/10)
8 faltam: 8º | Inglês | Animals (2/10)
8 faltam: 9º | Inglês | Simple Past (2/10)
8 faltam: 8º | Matemática | Triângulos (2/10)
8 faltam: 6º | Matemática | MMC (2/10)
8 faltam: 6º | Arte | Linguagens (2/10)
8 faltam: 6º | Geografia | Movimentos (2/10)
8 faltam: 8º | Educação Física | Bem-estar (2/10)
8 faltam: 8º | Inglês | Culture (2/10)
8 faltam: 6º | Arte | História (2/10)
8 faltam: 9º | Geografia | População (2/10)
8 faltam: 8º | História | Brasil (2/10)
8 faltam: 8º | Ciências | Saúde (2/10)
8 faltam: 8º | Inglês | Plurals (2/10)
8 faltam: 7º | Inglês | Vocabulary (2/10)
8 faltam: 9º | Inglês | Culture (2/10)
8 faltam: 8º | Ciências | Física (2/10)
8 faltam: 9º | Ciências | Respiratório (2/10)
8 faltam: 7º | Matemática | Tabuada (2/10)
8 faltam: 8º | Arte | Arte (2/10)
8 faltam: 6º | Inglês | Vocab (2/10)
8 faltam: 9º | História | Brasil (2/10)
7 faltam: 6º | Matemática | Números Primos (3/10)
7 faltam: 6º | Ciências | Citologia (3/10)
7 faltam: 6º | Matemática | Multiplicação (3/10)
7 faltam: 9º | Matemática | Funções (3/10)
7 faltam: 6º | Português | Ortografia (3/10)
7 faltam: 8º | Português | Morfologia (3/10)
7 faltam: 7º | Ciências | Máquinas Simples (3/10)
7 faltam: 6º | História | Pré-História (3/10)
7 faltam: 8º | História | Independência (3/10)
7 faltam: 7º | Geografia | Biomas Brasileiros (3/10)
7 faltam: 9º | Arte | Arte Contemporânea (3/10)
7 faltam: 8º | Ensino Religioso | Ética (3/10)
7 faltam: 8º | Ensino Religioso | Cidadania (3/10)
7 faltam: 7º | Português | Morfologia (3/10)
7 faltam: 6º | Ciências | Camadas da Terra (3/10)
7 faltam: 9º | História | Brasil República (3/10)
7 faltam: 8º | Ciências | Sistemas (3/10)
7 faltam: 7º | Geografia | Divisão Regional (3/10)
7 faltam: 7º | Ensino Religioso | Textos (3/10)
7 faltam: 6º | Educação Física | Voleibol (3/10)
7 faltam: 9º | Matemática | Áreas (3/10)
7 faltam: 7º | Ciências | Fisiologia (3/10)
7 faltam: 9º | Arte | Arte Urbana (3/10)
7 faltam: 8º | Ensino Religioso | Valores (3/10)
7 faltam: 6º | Inglês | Animais e Adjetivos (3/10)
7 faltam: 6º | Inglês | Verbos Básicos (3/10)
7 faltam: 6º | Ciências | Ecossistemas (3/10)
7 faltam: 6º | Matemática | Frações (3/10)
7 faltam: 9º | Matemática | Equações de 2º Grau (3/10)
7 faltam: 8º | Inglês | Past Simple (3/10)
7 faltam: 6º | Ensino Religioso | Livros Sagrados (3/10)
7 faltam: 9º | Arte | Cinema (3/10)
7 faltam: 7º | Ensino Religioso | Respeito (3/10)
7 faltam: 8º | Português | Verbos (3/10)
7 faltam: 9º | Matemática | Ângulos (3/10)
7 faltam: 8º | Arte | História da Arte (3/10)
7 faltam: 7º | Inglês | Plurals (3/10)
7 faltam: 7º | Português | Ortografia (3/10)
7 faltam: 6º | Ciências | Sistema Solar (3/10)
7 faltam: 8º | Português | Semântica (3/10)
7 faltam: 8º | Português | Sintaxe (3/10)
7 faltam: 9º | Português | Figuras (3/10)
7 faltam: 7º | História | Brasil (3/10)
7 faltam: 6º | História | Conceitos (3/10)
7 faltam: 9º | História | Mundo Atual (3/10)
6 faltam: 8º | Português | Vozes Verbais (4/10)
6 faltam: 8º | História | Revolução Industrial (4/10)
6 faltam: 9º | História | Era Vargas (4/10)
6 faltam: 7º | Geografia | Divisão Regional do Brasil (4/10)
6 faltam: 8º | Matemática | Álgebra (4/10)
6 faltam: 7º | Português | Acentuação (4/10)
6 faltam: 7º | Ciências | Propagação do Calor (4/10)
6 faltam: 9º | Ciências | Tabela Periódica (4/10)
6 faltam: 6º | Geografia | Estações do Ano (4/10)
6 faltam: 7º | Arte | Música (4/10)
6 faltam: 8º | Educação Física | Handebol (4/10)
6 faltam: 6º | Geografia | Formas de Relevo (4/10)
6 faltam: 9º | Português | Coesão (4/10)
6 faltam: 7º | História | Navegações (4/10)
6 faltam: 6º | Geografia | Geomorfologia (4/10)
6 faltam: 8º | Geografia | Demografia (4/10)
6 faltam: 7º | Educação Física | Saúde (4/10)
6 faltam: 7º | Arte | Renascimento (4/10)
6 faltam: 6º | Inglês | Alimentos Saudáveis (4/10)
6 faltam: 9º | Educação Física | Qualidade de Vida (4/10)
6 faltam: 6º | Matemática | Ângulos (4/10)
6 faltam: 9º | Ensino Religioso | Direitos Humanos (4/10)
6 faltam: 7º | Matemática | Equações (4/10)
6 faltam: 6º | Matemática | Potenciação (4/10)
6 faltam: 6º | Português | Vocabulário (4/10)
6 faltam: 8º | História | Revoluções (4/10)
6 faltam: 9º | Inglês | Past Tense (4/10)
6 faltam: 6º | Matemática | Perímetro (4/10)
6 faltam: 7º | Português | Adjetivos (4/10)
6 faltam: 6º | Arte | Desenho (4/10)
6 faltam: 9º | Matemática | Radiciação (4/10)
6 faltam: 7º | Português | Pronomes (4/10)
6 faltam: 6º | Ensino Religioso | Religiões (4/10)
6 faltam: 9º | Educação Física | História (4/10)
6 faltam: 8º | Educação Física | Nutrição (4/10)
6 faltam: 8º | Arte | Expressão (4/10)
6 faltam: 7º | Matemática | MMC (4/10)
6 faltam: 8º | História | Industrialização (4/10)
6 faltam: 9º | Arte | Linguagens (4/10)
6 faltam: 9º | Geografia | Energia (4/10)
5 faltam: 8º | História | Brasil Império (5/10)
5 faltam: 9º | Geografia | Geopolítica (5/10)
5 faltam: 7º | Português | Verbos (5/10)
5 faltam: 6º | Geografia | Hidrografia (5/10)
5 faltam: 8º | Ciências | Genética: DNA, genes e hereditariedade (5/10)
5 faltam: 8º | Ciências | Evolução e seleção natural (5/10)
5 faltam: 8º | Ciências | Ecologia: cadeias alimentares e ciclos biogeoquímicos (5/10)
5 faltam: 8º | Ciências | Biotecnologia e suas aplicações (5/10)
5 faltam: 8º | Ciências | Sustentabilidade e impactos ambientais (5/10)
5 faltam: 9º | Ciências | Química: substâncias, misturas e transformações (5/10)
5 faltam: 9º | Ciências | Física: movimento, forças e energia (5/10)
5 faltam: 9º | Ciências | Eletricidade e magnetismo (5/10)
5 faltam: 9º | Ciências | Astronomia: evolução estelar e cosmologia (5/10)
5 faltam: 9º | Ciências | Tecnologia, inovação e sociedade (5/10)
5 faltam: 6º | Inglês | Partes do Corpo (5/10)
5 faltam: 6º | Matemática | Operações Fundamentais (5/10)
5 faltam: 6º | Ensino Religioso | Valores (5/10)
5 faltam: 7º | Arte | Cinema (5/10)
5 faltam: 8º | Geografia | Globalização (5/10)
5 faltam: 6º | Ciências | Zoologia (5/10)
5 faltam: 6º | Inglês | Animals (5/10)
5 faltam: 8º | Inglês | Past Tense (5/10)
5 faltam: 9º | Matemática | Equações (5/10)
5 faltam: 8º | Arte | Técnicas (5/10)
5 faltam: 6º | Ciências | Planetas (5/10)
5 faltam: 7º | Matemática | Inteiros (5/10)
5 faltam: 6º | Português | Classes (5/10)
5 faltam: 7º | Ciências | Ecologia (5/10)
5 faltam: 8º | Geografia | Mundo Atual (5/10)
5 faltam: 6º | Geografia | Dinâmica (5/10)
5 faltam: 6º | Ciências | Geologia (5/10)
5 faltam: 9º | Educação Física | Olimpismo (5/10)
5 faltam: 7º | História | Navegações Portuguesas (5/10)
5 faltam: 7º | Educação Física | Lutas do Brasil (5/10)
4 faltam: 9º | Matemática | Teorema de Pitágoras (6/10)
4 faltam: 9º | Ciências | Estrutura Atômica (6/10)
4 faltam: 6º | Ciências | Respiração (6/10)
4 faltam: 7º | Geografia | Biomas (6/10)
4 faltam: 7º | Geografia | Território (6/10)
4 faltam: 9º | Ensino Religioso | Ética (6/10)
4 faltam: 6º | Ciências | Ecossistemas/Biomas (6/10)
4 faltam: 6º | Inglês | Greetings (6/10)
4 faltam: 6º | Matemática | Geometria (6/10)
4 faltam: 6º | Inglês | Numbers (6/10)
4 faltam: 8º | Português | Plural (6/10)
4 faltam: 7º | Geografia | Brasil (6/10)
4 faltam: 6º | Geografia | Coordenadas (6/10)
4 faltam: 9º | Ensino Religioso | Tolerância (6/10)
4 faltam: 9º | Arte | Audiovisual (6/10)
4 faltam: 7º | Ensino Religioso | Valores (6/10)
4 faltam: 6º | Ensino Religioso | Livros (6/10)
4 faltam: 6º | Inglês | Numbers and Colors (6/10)
4 faltam: 7º | Matemática | Números Inteiros e Racionais (6/10)
4 faltam: 9º | Geografia | Globalização e Blocos Econômicos (6/10)
4 faltam: 9º | Educação Física | Esportes de Invasão (6/10)
4 faltam: 7º | Ciências | Reino Animal (6/10)
3 faltam: 6º | Geografia | Estrutura da Terra (7/10)
3 faltam: 7º | Matemática | Números Inteiros (7/10)
3 faltam: 9º | Geografia | Meio Ambiente (7/10)
3 faltam: 6º | Matemática | Porcentagem (7/10)
3 faltam: 6º | Português | Semântica (7/10)
3 faltam: 7º | Matemática | Frações (7/10)
3 faltam: 6º | Ensino Religioso | Símbolos (7/10)
3 faltam: 6º | Inglês | Pronomes Pessoais (7/10)
3 faltam: 6º | Inglês | Objetos Escolares (7/10)
3 faltam: 6º | Inglês | Membros da Família (7/10)
3 faltam: 7º | Matemática | Radiciação (7/10)
3 faltam: 6º | Inglês | Vocabulary (7/10)
3 faltam: 7º | Geografia | Localização (7/10)
3 faltam: 7º | Inglês | Adjectives (7/10)
3 faltam: 8º | Arte | Fotografia e Lambe-lambe (7/10)
3 faltam: 7º | Educação Física | Esportes de Marca (7/10)
3 faltam: 8º | Arte | Dança e Expressão Corporal (7/10)
3 faltam: 6º | Educação Física | Lutas e Capoeira (7/10)
3 faltam: 7º | Arte | Patrimônio Cultural e Museus (7/10)
3 faltam: 6º | Arte | Dança e Contextos Sociais (7/10)
2 faltam: 9º | Português | Figuras de Linguagem (8/10)
2 faltam: 6º | História | Antiguidade (8/10)
2 faltam: 8º | Ciências | Sistema Endócrino (8/10)
2 faltam: 6º | Geografia | Movimentos da Terra (8/10)
2 faltam: 6º | Matemática | Operações (8/10)
2 faltam: 8º | Matemática | Polígonos (8/10)
2 faltam: 9º | Educação Física | Saúde (8/10)
2 faltam: 6º | História | Egito (8/10)
2 faltam: 8º | Educação Física | Basquete (8/10)
2 faltam: 7º | História | Renascimento (8/10)
2 faltam: 6º | Inglês | Cores e Animais (8/10)
2 faltam: 7º | Educação Física | Jogos cooperativos e competitivos (8/10)
2 faltam: 7º | Educação Física | Esportes de precisão e rebater (8/10)
2 faltam: 7º | Educação Física | Ginástica rítmica e artística (8/10)
2 faltam: 7º | Educação Física | Danças urbanas e regionais (8/10)
2 faltam: 7º | Educação Física | Primeiros socorros e prevenção de lesões (8/10)
2 faltam: 8º | Educação Física | Esportes de rede e parede (8/10)
2 faltam: 8º | Educação Física | Atletismo: fundamentos e modalidades (8/10)
2 faltam: 8º | Educação Física | Lutas e artes marciais (8/10)
2 faltam: 8º | Educação Física | Atividades de aventura e natureza (8/10)
2 faltam: 8º | Educação Física | Corpo, movimento e mídia (8/10)
2 faltam: 8º | Ensino Religioso | Ética e valores religiosos (8/10)
2 faltam: 8º | Ensino Religioso | Religião e sociedade (8/10)
2 faltam: 8º | Ensino Religioso | Direitos humanos e dignidade (8/10)
2 faltam: 8º | Ensino Religioso | Religião e ciência (8/10)
2 faltam: 8º | Ensino Religioso | Diálogo inter-religioso e paz (8/10)
2 faltam: 6º | História | Mesopotâmia (8/10)
2 faltam: 6º | Ciências | Estados Físicos da Água (8/10)
2 faltam: 7º | Arte | Cores e Pigmentos (8/10)
2 faltam: 6º | Arte | Mosaico e Colagem (8/10)
2 faltam: 8º | História | Independência dos EUA (8/10)
2 faltam: 9º | História | Era Vargas e Populismo (8/10)
2 faltam: 9º | Matemática | Teorema de Tales (8/10)
1 faltam: 8º | Arte | Street Art (9/10)
1 faltam: 8º | Ciências | Fisiologia (9/10)
1 faltam: 8º | Arte | Vanguardas (9/10)
1 faltam: 6º | História | Memória, tempo e história (9/10)
1 faltam: 6º | História | Os primeiros grupos humanos e a pré-história (9/10)
1 faltam: 6º | História | Povos pré-colombianos: Maias, Astecas e Incas (9/10)
1 faltam: 6º | Inglês | Números e Dias da Semana (9/10)
1 faltam: 7º | Ensino Religioso | Diversidade (9/10)
1 faltam: 7º | Ensino Religioso | Ética (9/10)
1 faltam: 7º | Arte | Vanguardas (9/10)
1 faltam: 7º | Educação Física | Vôlei (9/10)
1 faltam: 8º | História | Revolução Francesa (9/10)
1 faltam: 6º | Ciências | Astronomia (9/10)
1 faltam: 9º | Inglês | Questions (9/10)
1 faltam: 7º | Arte | Técnicas (9/10)
1 faltam: 6º | Educação Física | Esportes (9/10)
1 faltam: 7º | Geografia | Urbanização (9/10)
---
Total lacunas: 831
Total questoes faltando: 6441
